# 2017-06-04 Hypoxic area data table
# David Forrest <drf@vims.edu> 2016-06-04
#1985-2009 data as collected in Forrest, Hetland, DiMarco 2010 http://iopscience.iop.org/1748-9326/6/4/045002
#2010 hypoxic area from http://www.gulfhypoxia.net/research/Shelfwide%20Cruises/2010/PressRelease2010.pdf
#2011 hypoxic area from http://www.gulfhypoxia.net/research/Shelfwide%20Cruises/2011/PressRelease2011.pdf
#2012 hypoxic area from http://snre.umich.edu/scavia/wp-content/uploads/2012/07/2012-Gulf-of-Mexico-Hypoxic-Forecast-and-observation.pdf
#2013 hypoxic area from http://www.gulfhypoxia.net/Research/Shelfwide%20Cruises/2013/PressRelease2013.pdf
#2014 hypoxic area from http://www.gulfhypoxia.net/Research/Shelfwide%20Cruises/2014/PressRelease2014.pdf
#2015 hypoxic area from http://www.gulfhypoxia.net/Research/Shelfwide%20Cruises/2015/PRESS_RELEASE_2015.pdf
#2017 hypoxic area from https://gulfhypoxia.net/research/shelfwide-cruise/?y=2017&p=press_release
#2015 wind data based on limited June 15-25th wind observations
#May 2013 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/flux_ests/delivery/index.html
#May 2014 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/flux_ests/delivery/index.html
#Preliminary May 2015 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/oct_jun/index.html
#Preliminary May 2016 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/oct_jun/index.html
#   and http://toxics.usgs.gov/hypoxia/mississippi/oct_jun/oct-may-2016.xlsx
#Preliminary May 2017 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/oct_jun/index.html
#   and https://toxics.usgs.gov/hypoxia/mississippi/oct_jun/oct-may-2017.xlsx
#Columns are:
#  Year
#  kmsq    Hypoxic area in km^2
#  disch   May Total Mississippi-Atchafalya average flow 
#  N       May NO2+NO3 LOADEST AMLE predicted load
#  no23rat no23-ratio: N/disch *26.6555 concentration uM 
#  U       Average June-July eastward winds (m/s) from http://www.ndbc.noaa.gov/station_history.php?station=burl1, with missing data imputed from other nearby stations.
#  V       Average June-July northward winds (m/s)
#  UU      Average June-July eastward wind stress (m^2/s^2)
#  UUU     Average June-July eastward wind power (m^3/s^3)
#  ssta    Sea Surface Temperature
"Year","kmsq","disch","N","no23rat","U","V","UU","UUU","Ue","Ve","UUe","UUUe","Ul","Vl","UUl","UUUl","no23","ssta","post1993","not88or89","unusual"
1985,9774,26200,112000,113.9471756,0.0511022,1.6925824,-0.9470352,106.45136,-4.9153002,8.0856097,-24.1601758,847.2385383,0.9300333,2.0799879,3.1511886,65.526432,NA,0.6,0,TRUE,"Baseline"
1986,9432,20500,121000,157.3324634,-0.2586742,1.7518954,-1.1061305,83.8709026,-0.2258628,0.0278402,-0.051014,0.0117857,0.6463782,2.4643039,3.9797305,100.1418007,NA,-0.15,0,TRUE,"Baseline"
1987,6688,17800,87400,130.8815,-0.0058512,2.0181603,0.4316981,84.9915352,4.8138518,5.582092,23.1731687,400.4926662,-0.3131002,1.751582,-0.8045511,42.7225896,NA,-0.43,0,TRUE,"Baseline"
1988,40,13400,50500,100.4554291,-1.9381944,1.4993512,-14.8663189,217.8594024,-8.2716442,-2.5540207,-68.4200974,648.7802883,-2.0713631,2.2236758,-17.6223801,259.8511444,NA,-1.05,0,FALSE,"Drought1988"
1989,8100,24700,69400,74.8944008,0.4751925,3.9981259,4.6530217,234.470022,5.3458714,6.4900695,28.578341,594.4605855,1.9840787,3.681047,11.8447444,242.0502245,NA,0.11,0,FALSE,"ShortSurvey1989"
1990,9260,36000,146000,108.1028611,0.1920609,1.8825767,1.340259,59.2433318,-0.3356265,2.4200317,-0.1126451,14.5839124,0.9150768,1.9507893,4.0729001,76.0038036,NA,0.14,0,TRUE,"Baseline"
1991,11920,43600,189000,115.5479243,1.5688774,1.2776643,4.8340278,49.8609781,-0.6864109,3.3511519,-0.4711599,40.0272332,2.291889,0.6140982,8.5073042,67.8239855,1.6,0.83,0,TRUE,"Baseline"
1992,10804,18600,104000,149.0415054,0.9560889,1.9000148,3.8270382,99.6132423,2.1317835,2.4820862,4.5445011,35.0263912,1.2486086,3.169703,4.6766697,169.4545799,2.65,-1.06,0,TRUE,"Baseline"
1993,17600,46200,214000,123.4691991,-1.8254873,2.0775545,-13.8396908,176.222818,-2.9353395,-2.2804422,-8.6162183,51.3574456,-0.2183229,2.4025479,0.1403648,48.3521301,1.6,-1,0,TRUE,"Baseline"
1994,16600,42100,130000,82.3091449,0.4889862,2.8969324,1.908327,162.5766067,-4.6775297,2.4608349,-21.8792838,147.64639,-1.0380469,3.0902286,-3.730734,99.8017205,NA,0.84,1,TRUE,"Baseline"
1995,18200,31300,142000,120.9291054,-0.1330293,1.6393154,-1.6677523,148.2377056,-2.2092639,-0.7381002,-4.8808471,12.6379416,0.8910259,2.1966942,5.9606066,195.4529168,NA,0.67,1,TRUE,"Baseline"
1996,17920,34600,146000,112.4769653,0.2984297,1.3976427,0.4034625,65.786589,0.3559207,2.5976818,0.1266796,18.0249483,0.4775838,1.5043418,0.4538283,114.9588801,1.2333333,-0.17,1,TRUE,"Baseline"
1997,15840,31400,122000,103.5659554,0.8167965,1.2704237,3.5258065,60.9176897,3.5062668,2.4826972,12.2939068,79.2987068,1.2916647,-0.3823118,6.1794169,53.1342868,1.43,-0.85,1,TRUE,"Baseline"
